,method,input_name,gamma,inc,idef,total_time,max_mem,timestamp,n_vars,n_worlds,n_params,n_edges,also_idef,optimizer,graph_id
0,cccp_opt_joint,0--cccp--gamma1e+00,1.000000000000001,0.9852492554825995,5.589203852186953,45.64555287361145,-1,2022-09-30 23:35:55.323088,10,1024,396,40,,,0
1,cvx_opt_joint,cvx-idef,1e-15,0.6417441357007996,10.76594349977275,7.308924913406372,-1,2022-10-01 01:30:37.004482,10,1024,326,34,False,,54
2,cccp_opt_joint,0--cccp--gamma1e+02,100.0,9.942627471900371,-0.004762640946796459,170.57189512252808,-1,2022-09-30 23:38:00.618159,10,1024,396,40,,,0
3,cccp_opt_joint,0--cccp--gamma2e+00,2.000000000000001,,-1.911827857647109,178.79756951332092,-1,2022-09-30 23:38:08.512768,10,1024,396,40,,,0
4,cccp_opt_joint,0--cccp--gamma1e-01,0.100000000000001,0.24646805997627672,7.617053109527134,180.66889119148254,-1,2022-09-30 23:38:09.966769,10,1024,396,40,,,0
5,cccp_opt_joint,0--cccp--gamma1e-04,0.000100000000001,0.20744120792528203,9.241142438760157,398.39002680778503,-1,2022-09-30 23:41:47.433500,10,1024,396,40,,,0
6,opt_dist,0--torch(lbfgs)--gamma1e+00,1.000000000000001,,5.4940480457679834,405.6239948272705,-1,2022-09-30 23:41:55.075221,10,1024,396,40,,lbfgs,0
7,opt_dist,0--torch(lbfgs)--gamma1e-01,0.100000000000001,,7.794026343886447,406.77804017066956,-1,2022-09-30 23:41:56.104685,10,1024,396,40,,lbfgs,0
8,opt_dist,0--torch(lbfgs)--gamma2e+00,2.000000000000001,,-1.8584476799785044,407.41519689559937,-1,2022-09-30 23:41:57.018961,10,1024,396,40,,lbfgs,0
9,opt_dist,0--torch(lbfgs)--gamma1e-08,1.0000001e-08,,9.38302324743151,408.67987179756165,-1,2022-09-30 23:41:57.457720,10,1024,396,40,,lbfgs,0
10,cccp_opt_joint,0--cccp--gamma1e-08,1.0000001e-08,0.20744115882892453,9.308709442786176,409.95756101608276,-1,2022-09-30 23:41:58.641667,10,1024,396,40,,,0
11,opt_dist,0--torch(lbfgs)--gamma1e-04,0.000100000000001,,9.37828741130703,412.6084063053131,-1,2022-09-30 23:42:01.481785,10,1024,396,40,,lbfgs,0
12,opt_dist,0--torch(lbfgs)--gamma1e+02,100.0,,-0.999983244515191,414.10219955444336,-1,2022-09-30 23:42:03.769351,10,1024,396,40,,lbfgs,0
13,cvx_opt_joint,cvx-idef,1e-15,0.3162129963575904,8.163171857674044,5.454508543014526,-1,2022-10-01 01:30:35.278577,10,1024,224,27,False,,1
14,cvx_opt_joint,cvx+idef,1e-15,0.6417441909397105,10.685049555024113,8.259434700012207,-1,2022-10-01 01:30:37.911822,10,1024,326,34,True,,54
15,cccp_opt_joint,0--cccp--gamma1e+00,1.000000000000001,3.415466792128447,2.793102520159718,8.936396598815918,-1,2022-10-01 01:30:38.591323,10,1024,326,34,,,0
16,cccp_opt_joint,1--cccp--gamma1e-08,1.0000001e-08,0.3162147272407673,8.102543787559071,28.606624841690063,-1,2022-10-01 01:30:58.400025,10,1024,224,27,,,1
17,cccp_opt_joint,0--cccp--gamma1e-08,1.0000001e-08,0.6417441983210076,10.749964960170416,33.8645224571228,-1,2022-10-01 01:31:03.556816,10,1024,326,34,,,0
18,cccp_opt_joint,0--cccp--gamma1e-12,1.001e-12,0.6417448161185524,10.784073549554948,37.97619318962097,-1,2022-10-01 01:31:07.604442,10,1024,326,34,,,0
19,cccp_opt_joint,1--cccp--gamma1e-04,0.000100000000001,0.3162131515794139,7.918507036090526,33.31710195541382,-1,2022-10-01 01:31:11.312127,10,1024,224,27,,,1
20,cccp_opt_joint,1--cccp--gamma1e-02,0.010000000000001,0.31719149959703724,7.535026134520694,23.827471256256104,-1,2022-10-01 01:31:23.369770,10,1024,224,27,,,1
21,cccp_opt_joint,0--cccp--gamma2e+00,2.000000000000001,,1.4876696187979928,57.01955032348633,-1,2022-10-01 01:31:26.756660,10,1024,326,34,,,0
22,cccp_opt_joint,1--cccp--gamma1e+00,1.000000000000001,0.9693431895953386,4.516148429870086,13.446737051010132,-1,2022-10-01 01:31:38.126480,10,1024,224,27,,,1
23,cccp_opt_joint,1--cccp--gamma1e-12,1.001e-12,0.3162125801319959,8.125197953862521,77.16698098182678,-1,2022-10-01 01:31:46.914942,10,1024,224,27,,,1
24,opt_dist,1--torch(asgd)--gamma1e-12,1.001e-12,2.1047589906426234,5.999999999999998,82.94492483139038,-1,2022-10-01 01:31:52.704806,10,1024,224,27,,asgd,1
25,opt_dist,0--torch(asgd)--gamma1e-04,0.000100000000001,3.348786388476669,8.999999999999998,96.34576034545898,-1,2022-10-01 01:32:06.087400,10,1024,326,34,,asgd,0
26,opt_dist,1--torch(lbfgs)--gamma1e-12,1.001e-12,,8.218871501948488,99.26695251464844,-1,2022-10-01 01:32:09.123647,10,1024,224,27,,lbfgs,1
27,opt_dist,1--torch(lbfgs)--gamma1e-08,1.0000001e-08,,8.219019577864557,99.31636118888855,-1,2022-10-01 01:32:09.167874,10,1024,224,27,,lbfgs,1
28,opt_dist,0--torch(adam)--gamma1e-08,1.0000001e-08,,9.985437750942172,117.90542030334473,-1,2022-10-01 01:32:27.607306,10,1024,326,34,,adam,0
29,opt_dist,0--torch(adam)--gamma1e+00,1.000000000000001,,2.165555064486594,119.57091498374939,-1,2022-10-01 01:32:29.300185,10,1024,326,34,,adam,0
30,opt_dist,0--torch(lbfgs)--gamma2e+00,2.000000000000001,,-2.3739790451909872,122.51831197738647,-1,2022-10-01 01:32:32.252538,10,1024,326,34,,lbfgs,0
31,cccp_opt_joint,1--cccp--gamma2e+00,2.000000000000001,,-0.3128258683019327,51.772586822509766,-1,2022-10-01 01:32:45.065686,10,1024,224,27,,,1
32,opt_dist,1--torch(adam)--gamma1e-08,1.0000001e-08,,8.188035493715066,135.34371972084045,-1,2022-10-01 01:32:45.206577,10,1024,224,27,,adam,1
33,opt_dist,0--torch(adam)--gamma2e+00,2.000000000000001,,-2.6953387700730875,142.41260695457458,-1,2022-10-01 01:32:52.106565,10,1024,326,34,,adam,0
34,opt_dist,1--torch(asgd)--gamma1e-04,0.000100000000001,2.1047589906426234,5.999999999999998,127.36778903007507,-1,2022-10-01 01:32:58.925415,10,1024,224,27,,asgd,1
35,opt_dist,0--torch(lbfgs)--gamma1e-08,1.0000001e-08,,11.068042180067348,152.01369881629944,-1,2022-10-01 01:33:01.622461,10,1024,326,34,,lbfgs,0
36,opt_dist,0--torch(lbfgs)--gamma1e-04,0.000100000000001,,11.020384505243381,153.47024655342102,-1,2022-10-01 01:33:03.084728,10,1024,326,34,,lbfgs,0
37,opt_dist,0--torch(lbfgs)--gamma1e+00,1.000000000000001,,2.2507644812315695,153.5458688735962,-1,2022-10-01 01:33:03.204246,10,1024,326,34,,lbfgs,0
38,opt_dist,0--torch(asgd)--gamma1e-12,1.001e-12,3.348786388476669,8.999999999999998,157.29504013061523,-1,2022-10-01 01:33:06.918351,10,1024,326,34,,asgd,0
39,opt_dist,1--torch(adam)--gamma1e-12,1.001e-12,,8.188035852252145,157.38540625572205,-1,2022-10-01 01:33:07.096891,10,1024,224,27,,adam,1
